Question,article_id,title,subtitle,url,published_time,top_emotion_en,combined_prob_Joy,combined_prob_Trust,combined_prob_Anticipation,combined_prob_Surprise,combined_prob_Anger,combined_prob_Contempt,combined_prob_Sadness,combined_prob_Fear,label_type,label_class
22,9044281,Angriber Messerschmidt: Støjberg brugt i kynisk magtspil,"Martin Henriksen mener ikke, at Messerschmidt på noget tidspunkt hverken har satset eller håbet på Støjberg som formand",https://ekstrabladet.dk/nyheder/politik/danskpolitik/angriber-messerschmidt-stoejberg-brugt-i-kynisk-magtspil/9044281,14/12/2021 20:28,Contempt,9.80E-05,0.000357817,0.001351682,0.000651912,0.000329,0.996681869,0.000259567,0.000270053,emotion,Contempt
23,9731773,Raser: - Pinligt at spille på det lort,"Det var en tydeligt frustreret Martin Spelmann, der gav interview til Viaplay, efter at Hvidovre spillede 0-0 med Vendsyssel",https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/raser-pinligt-at-spille-paa-det-lort/9731773,22/04/2023 14:58,Sadness,0.000473612,0.000119412,0.000346732,0.0002307,0.000869372,0.00047032,0.997283459,0.000206436,emotion,Sadness
24,8219046,Münsters søn: Coronaen forhindrede et farvel,"Læge Henrik Münster er trist over, at han ikke fik sagt farvel til sin far",https://ekstrabladet.dk/underholdning/dkkendte/munsters-soen-coronaen-forhindrede-et-farvel/8219046,28/07/2020 19:10,Sadness,0.000302891,0.000135463,0.000478288,0.000386243,0.000241534,0.000163132,0.997815609,0.00047691,emotion,Sadness
25,9523044,Valgets tale: Støjberg er ren,Inger Støjberg fik et flot valg - og blev dermed fundet 'værdig' til Folketinget,https://ekstrabladet.dk/nyheder/politik/danskpolitik/valgets-tale-stoejberg-er-ren/9523044,26/11/2022 17:46,Trust,0.00265842,0.992636025,0.002251066,0.000355912,0.000146882,0.001332575,0.000252841,0.000366346,emotion,Trust
26,9141298,Stortest: Chardonnay fra USA,Vi har smagt 64 chardonnay fra USA,https://ekstrabladet.dk/vin/vintest/ugenstest/stortest-chardonnay-fra-usa/9141298,25/02/2022 7:30,Joy,0.997012138,0.000652999,0.000777691,0.000653759,0.000198864,7.44E-05,0.000401992,0.000228149,emotion,Joy
27,8920343,Nu kommer FIFAs store plan,På et møde 20. december håber Fifa at kunne præsentere fremtidens kalender i international fodbold,https://ekstrabladet.dk/sport/nu-kommer-fifas-store-plan/8920343,20/10/2021 18:01,Anticipation,0.000422765,0.000251806,0.998218715,0.000189013,0.000176903,0.000301392,0.000198015,0.000241406,emotion,Anticipation
28,9721768,Holger i krig med publikum: - Det var fedt,"Holger Rune kom i bad standing hos publikum i Monte-Carlo Masters, da han tyssede på dem - men han nød det alligevel",https://ekstrabladet.dk/sport/anden_sport/tennis/holger-i-krig-med-publikum-det-var-fedt/9721768,15/04/2023 21:23,Joy,0.997205198,0.000530964,0.0005593,0.000260573,0.000407514,0.000331419,0.000500327,0.000204608,emotion,Joy
29,8113223,Bengt Burgs store tv-sorg,"Tv-kendissen gav for tre år siden et stort interview til Ekstra Bladet, hvor han så tilbage på karrierens store op- og nedture. Særligt én ting var han ked af",https://ekstrabladet.dk/underholdning/bengt-burgs-store-tv-sorg/8113223,17/04/2023 10:26,Sadness,0.000568117,0.000141845,0.000350728,0.00015227,0.000359983,0.000329711,0.997890651,0.000206611,emotion,Sadness
30,9340973,Her er sandheden bag 'Stockholm-syndromet',"Kvinder elskede Sveriges berygtede storforbryder Clark Olofsson. Bankrøveren var så karismatisk, at hans gidsler blev betaget og fænomenet 'Stockholm-syndromet' opstod. Og passer det, at han sked på Olof Palmes kontor?",https://ekstrabladet.dk/underholdning/filmogtv/tv/her-er-sandheden-bag-stockholm-syndromet/9340973,21/07/2022 16:54,Surprise,0.000357274,0.000181552,0.001088242,0.996016681,0.000338777,0.001190766,0.000301682,0.000525084,emotion,Surprise
31,3215184,Skattetrick forgylder riges børn,Spaltning af gamle selskaber giver millioner til de unge ejere,https://ekstrabladet.dk/nyheder/samfund/article3215184.ece,12/04/2005 5:59,Contempt,9.12E-05,0.00034966,0.000879066,0.000701168,0.000901751,0.996405244,0.000209888,0.00046188,emotion,Contempt
32,9726613,Dansker irriteret: Han er for god,"Selvom han sagtens kan beundre hans evner, er Mattias Skjelmose også irriteret over, at han konkurrerer imod generations-fænomenet Tadej Pogacar",https://ekstrabladet.dk/sport/cykling/dansker-irriteret-han-er-for-god/9726613,23/04/2023 6:51,Anger,0.002768772,0.000153863,0.000481131,0.000384021,0.994482756,0.000183555,0.001415269,0.000130649,emotion,Anger
33,7924181,Virus-udbrud lammer danske sygehuse: Hold dig væk,To hospitaler i Vestjylland er ramt af roskildesyge. Flere patienter er isoleret,https://ekstrabladet.dk/nyheder/samfund/virus-udbrud-lammer-danske-sygehuse-hold-dig-vaek/7924181,18/12/2019 18:42,Fear,0.000179682,0.000341632,0.000364868,0.000151133,0.000103326,0.000392171,0.000385789,0.998081446,emotion,Fear
34,9591532,Det er ikke for at være høflig!,"Mange gæster brokker sig ikke, hvis de er utilfredse med maden, og det er Casper Sobczyk træt af",https://ekstrabladet.dk/underholdning/livsstil/det-er-ikke-for-at-vaere-hoeflig/9591532,22/02/2023 16:57,Anger,0.00846013,0.00029182,0.000263195,0.000373504,0.988822937,0.000797051,0.000828744,0.000162542,emotion,Anger
35,9709664,Stadig ingen glad smiley til Superkiosken Ikast,"Kiosk fik sidst en sur smiley, denne gang blev det til en lige smiley",https://ekstrabladet.dk/auto/magna/smileys/stadig-ingen-glad-smiley-til-superkiosken-ikast/9709664,06/04/2023 3:02,Joy,0.997203946,0.000405413,0.000803808,0.000739117,0.000276812,8.34E-05,0.000334195,0.000153462,emotion,Joy
36,9472893,En pølse må IKKE serveres med remoulade,Hvordan fik Toms Guld Barre sit navn? Forhøjer det virkelig mænds virilitet at få indopereret gedetestikler? Og hvorfor må en pølse ikke serveres med remoulade?,https://ekstrabladet.dk/underholdning/livsstil/en-poelse-maa-ikke-serveres-med-remoulade/9472893,18/10/2022 12:08,Surprise,0.00033668,0.000139187,0.000391348,0.996590853,0.000442282,0.001310192,0.000117445,0.000672025,emotion,Surprise
37,9510360,Røvplasker i Royal Arena,"Jada er netop udnævnt til kongerigets bedste livenavn, men på Amager var det svært at høre hvorfor",https://ekstrabladet.dk/musik/koncert_anmeldelser/roevplasker-i-royal-arena/9510360,11/11/2022 22:12,Surprise,0.000363327,0.000380266,0.000441552,0.997062862,0.000369511,0.00086912,0.000346423,0.000166893,emotion,Surprise
38,9305329,Engells personlige farvel til Uffe,"Uffe VAR arrogant. Han kunne sende folk ned i en bisætning, men han var også følsom og medlevende",https://ekstrabladet.dk/nyheder/politik/engells-personlige-farvel-til-uffe/9305329,19/06/2022 10:08,Anger,0.001161479,0.000456954,0.000106777,0.00016841,0.993967891,0.003679964,0.000349248,0.000109361,emotion,Anger
39,8598756,Derfor har jeg sex for åben mikrofon,Journalist Louise Fischer har sex i en reportage på Radio4. Nu fortæller hun mere om hvorfor,https://ekstrabladet.dk/underholdning/filmogtv/derfor-har-jeg-sex-for-aaben-mikrofon/8598756,27/05/2021 17:15,Surprise,0.000504173,0.000321858,0.000493701,0.997248948,0.000208712,0.000417553,0.000229531,0.000575504,emotion,Surprise
40,9709946,Svinet til efter flagbrænding,"Danmarksdemokraternes Søren Espersen får grove ord med på vejen, efter han brændte Dannebrog i sin have",https://ekstrabladet.dk/nyheder/politik/danskpolitik/svinet-til-efter-flagbraending/9709946,06/04/2023 11:19,Contempt,0.000570359,0.000871449,0.000583925,0.000442616,0.000290675,0.996596038,0.000261167,0.000383754,emotion,Contempt
